                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.74627,                0.67481,                 1.1805,                0.89954,                0.87177,                0.92291,                0.71623,                0.82341,                0.60391,                 1.2229,               0.007195,               0.007195,               0.007195
                     87,                  0.734,                0.67702,                 1.1701,                0.84312,                0.87107,                0.91203,                0.70823,                0.81625,                0.63415,                 1.2204,               0.007162,               0.007162,               0.007162
                     88,                0.75119,                 0.6768,                 1.1707,                0.88029,                0.87207,                0.91691,                0.71245,                0.82633,                0.61093,                 1.2238,               0.007129,               0.007129,               0.007129
                     89,                0.72913,                0.65396,                 1.1587,                0.88842,                0.86532,                 0.9166,                 0.7152,                0.81462,                0.60719,                  1.222,               0.007096,               0.007096,               0.007096
                     90,                 0.7325,                 0.6446,                 1.1555,                0.85172,                0.90496,                 0.9122,                0.71221,                0.83384,                0.61235,                 1.2238,               0.007063,               0.007063,               0.007063
                     91,                0.74259,                0.65502,                 1.1664,                0.87851,                0.86989,                0.90744,                0.69362,                0.85249,                0.63813,                 1.2462,                0.00703,                0.00703,                0.00703
                     92,                0.73929,                0.67101,                 1.1682,                0.89355,                0.88174,                0.91829,                0.72114,                0.80813,                0.60692,                 1.2148,               0.006997,               0.006997,               0.006997
                     93,                0.73933,                0.66567,                 1.1616,                0.89387,                0.85978,                0.91663,                0.71621,                0.84241,                0.62325,                 1.2263,               0.006964,               0.006964,               0.006964
                     94,                0.71849,                0.64909,                 1.1482,                0.89912,                0.87262,                0.91375,                0.71692,                 0.8284,                0.60337,                 1.2256,               0.006931,               0.006931,               0.006931
                     95,                0.73564,                0.64404,                 1.1578,                0.88345,                0.85793,                0.90421,                0.70275,                0.82464,                0.60972,                 1.2211,               0.006898,               0.006898,               0.006898
                     96,                0.73382,                0.65285,                 1.1617,                0.89052,                0.87997,                0.91894,                0.71759,                0.81806,                0.59701,                  1.217,               0.006865,               0.006865,               0.006865
                     97,                0.73615,                 0.6482,                 1.1521,                0.89559,                0.86981,                0.91355,                0.71898,                0.82334,                0.59093,                 1.2193,               0.006832,               0.006832,               0.006832
                     98,                0.73712,                0.65583,                  1.162,                0.86526,                0.88214,                0.91702,                0.71249,                0.82829,                0.61348,                 1.2224,               0.006799,               0.006799,               0.006799
                     99,                0.73633,                 0.6474,                 1.1564,                0.89729,                0.87532,                0.91889,                0.71052,                0.81362,                 0.5956,                 1.2212,               0.006766,               0.006766,               0.006766
                    100,                0.72134,                0.64307,                 1.1475,                0.88428,                0.87134,                 0.9129,                0.71394,                0.83004,                0.61335,                 1.2308,               0.006733,               0.006733,               0.006733
                    101,                0.70674,                0.63293,                 1.1427,                0.91095,                0.85888,                0.92238,                0.72169,                0.81179,                0.58287,                 1.2138,                 0.0067,                 0.0067,                 0.0067
                    102,                0.71499,                0.63133,                  1.146,                0.85845,                0.88085,                0.90119,                0.69604,                0.81951,                0.61042,                 1.2203,               0.006667,               0.006667,               0.006667
                    103,                0.72424,                0.64929,                 1.1508,                0.87967,                0.88778,                0.91838,                0.71894,                0.82189,                0.60189,                  1.218,               0.006634,               0.006634,               0.006634
                    104,                0.71167,                0.63233,                 1.1414,                0.89382,                0.87087,                0.91366,                0.71468,                0.81779,                0.59801,                 1.2219,               0.006601,               0.006601,               0.006601
                    105,                0.71184,                0.62953,                 1.1378,                0.88863,                0.86996,                 0.9155,                0.71641,                0.81232,                 0.5979,                 1.2074,               0.006568,               0.006568,               0.006568
                    106,                0.71298,                0.62927,                 1.1425,                0.89432,                0.88454,                0.92167,                 0.7214,                0.80396,                0.58949,                 1.2119,               0.006535,               0.006535,               0.006535
                    107,                0.71666,                0.62273,                 1.1465,                0.87688,                0.88534,                0.92127,                0.72025,                0.81302,                0.58621,                 1.2056,               0.006502,               0.006502,               0.006502
                    108,                0.70902,                0.61907,                 1.1351,                0.87737,                0.87666,                0.90573,                0.71707,                0.79987,                0.60135,                 1.1985,               0.006469,               0.006469,               0.006469
                    109,                0.70391,                0.61569,                 1.1429,                0.88884,                0.88135,                0.92095,                0.72255,                0.81371,                 0.5831,                 1.2108,               0.006436,               0.006436,               0.006436
                    110,                0.69555,                 0.6124,                 1.1413,                0.87442,                0.88377,                0.91901,                0.72525,                0.79597,                0.59443,                 1.1943,               0.006403,               0.006403,               0.006403
                    111,                0.70748,                0.60451,                 1.1397,                0.88835,                0.88471,                0.92574,                0.72925,                0.80928,                0.57775,                 1.2089,                0.00637,                0.00637,                0.00637
                    112,                0.70529,                0.61817,                 1.1436,                0.88491,                0.87131,                0.91108,                0.71401,                0.81791,                0.59801,                 1.2112,               0.006337,               0.006337,               0.006337
                    113,                0.69711,                0.61955,                 1.1372,                0.88975,                0.86285,                0.91128,                0.71397,                0.80956,                0.59436,                 1.2032,               0.006304,               0.006304,               0.006304
                    114,                0.69882,                0.61815,                 1.1384,                0.90343,                0.87738,                0.91704,                0.72025,                0.80242,                0.58666,                 1.2043,               0.006271,               0.006271,               0.006271
                    115,                 0.7003,                0.61232,                 1.1332,                 0.8718,                 0.8851,                  0.917,                0.72164,                0.80068,                 0.5976,                 1.1923,               0.006238,               0.006238,               0.006238
                    116,                0.70851,                0.61535,                 1.1428,                0.88982,                0.86249,                0.90852,                0.71426,                 0.8069,                 0.6044,                 1.2008,               0.006205,               0.006205,               0.006205
                    117,                0.69998,                0.61008,                 1.1327,                0.88066,                0.86988,                0.91488,                 0.7255,                0.80623,                0.59218,                 1.2045,               0.006172,               0.006172,               0.006172
                    118,                 0.6969,                0.60037,                 1.1347,                0.88382,                0.88017,                0.91591,                0.71601,                0.80585,                 0.5913,                 1.2023,               0.006139,               0.006139,               0.006139
                    119,                0.67803,                0.59742,                 1.1242,                0.88532,                0.88875,                0.92309,                0.73166,                0.79564,                0.57257,                 1.1852,               0.006106,               0.006106,               0.006106
                    120,                 0.6871,                 0.6022,                 1.1236,                0.87134,                0.89722,                 0.9187,                 0.7263,                0.79766,                0.57791,                 1.1965,               0.006073,               0.006073,               0.006073
                    121,                0.68676,                0.60349,                 1.1348,                0.88784,                0.88454,                0.91974,                0.72046,                0.79967,                0.58573,                 1.1958,                0.00604,                0.00604,                0.00604
                    122,                0.69421,                0.60221,                 1.1343,                0.87622,                0.88811,                0.91978,                 0.7237,                0.79279,                0.58255,                  1.185,               0.006007,               0.006007,               0.006007
